Культура;Сорт
Ежевика;Natchez/ Натчез
Ежевика;Black Magic/ Блэк Мэджик
Ежевика;Prime Ark Freedom/ Прайм Арк Фридом
Ежевика;Prime Ark Traveler/  Прайм Арк Тревелер
Ежевика;Reuben / Рубен
Ежевика;Thornfree/ Торнфри
Ежевика;Ежевика Уфимская местная
Жимолость синия;Авача 
Жимолость синия;Антошка 
Жимолость синия;Волхова
Жимолость синия;Пушкинская
Жимолость синяя;Blue Treasure/ Блю Треже
Жимолость синяя;Boreal Beast/ Бореал Бест
Жимолость синяя;Boreal Beauty/ Бореал Бьюти 
Жимолость синяя;Boreal Blizzard/ Бореал Близзард
Жимолость синяя;Indigo Gem/ Индиго Джем 
Жимолость синяя;Wojtek/ Войтек
Жимолость синяя;Бакчарская
Жимолость синяя;Восторг 
Жимолость синяя;Гордость Бокчара 
Жимолость синяя;Дельфин
Жимолость синяя;Зимородок 
Жимолость синяя;Зойка
Жимолость синяя;Княгиня
Жимолость синяя;Мальвина  
Жимолость синяя;Морена
Жимолость синяя;Московская-23
Жимолость синяя;Пётр Первый
Жимолость синяя;Поклон Сибири 
Жимолость синяя;Синий утес
Жимолость синяя;Соска 
Жимолость синяя;Стрежевчанка 
Жимолость синяя;Шахиня
Жимолость синяя;Югана 
Калина;Boule de Neige Roseum / Бульденеж (Розеум)
Клематис;Blekitny Aniol/ Блекитни Аниол
Клематис;Blue Explosion/ Блю Эксплоужен
Клематис;Daniel Deronda/ Даниэль Деронда
Клематис;Dancing King/ Дансинг Кинг
Клематис;Fay/Фэй
Клематис;Guernsey Cream/ Джемзи Крим
Клематис;Kakio/ Какио
Клематис;Lasurstern / Лазурстерн
Клематис;Proteus / Протеус
Клематис;Rosalyn/ Розалин 
Клематис;I am lady J / Ай эм леди Джей
Клематис;Polish Spirit / Полиш Спирит
Клематис;Purpurea Plena Elegans / Пурпуреа Плена Элеганс
Клематис;Queen Of Hollandaf/ Королева Голландии
Клематис;Slowianka/Славянка
Клематис;Sodertalje / Сёдертелье 
Клематис;Texensis Duchess of Albany/ Дачес оф Албани 
Клематис;Diversifolia Rooguchi / Диверсифолия Роогучи
Клематис;Princess Diana/ Принцесса Диана
Клематис;Jenny/ Джэнни
Клематис;Budapest/ Будапешт
Клематис;Флорис V
Клематис;Little Bas/ Литтл Бас
Крыжовник обыкновенный;Kursu Dzintars/ Куршу Дзинтарс
Крыжовник обыкновенный;Владил
Крыжовник обыкновенный;Грушенька 
Крыжовник обыкновенный;Колобок
Крыжовник обыкновенный;Консул
Крыжовник обыкновенный;Розовый-2
Крыжовник обыкновенный;Северный капитан
Крыжовник обыкновенный;Черномор
Крыжовник обыкновенный;Черносливовый
Лапчатка кустарниковая;Abbostwood/ Абботсвуд
Лапчатка кустарниковая;Annette/ Аннет
Лапчатка кустарниковая;Bella Sol / Белла Сол 
Лапчатка кустарниковая;Danny Boy/ Данни Бой
Лапчатка кустарниковая;Goldstar/ Голдстар
Лапчатка кустарниковая;Pink Beauty (Lovely Pink)/ Пинк Бьюти (Лавли Пинк)
Лапчатка кустарниковая;Pink Paradise / Пинк Парадайз
Лапчатка кустарниковая;Red Ace/ Ред Айс 
Лапчатка кустарниковая;Sunset/ Сансет
Лапчатка кустарниковая;Glamour Girl/ Гламур Герл
Малина западная;Black Jewel/ Блэк Джевел
Малина западная;Cumberland/ Кумберленд
Малина обыкновенная;Glen Ample/ Глен Эмпл 
Малина обыкновенная;Glen Coe/ Глен Кое
Малина обыкновенная;Laszka / Ляшка
Малина обыкновенная;Желтый гигант
Малина обыкновенная;Красная Королева
Малина обыкновенная;Мираж
Малина обыкновенная;Пересвет
Малина обыкновенная;Феномен
Малина обыкновенная ремонтантная;Delniwa/ Дельнива
Малина обыкновенная ремонтантная;Heban/ Хебан
Малина обыкновенная ремонтантная;Joan J/ Джоан Джей
Малина обыкновенная ремонтантная;Lagorai Plus/ Лагори Плюс
Малина обыкновенная ремонтантная;Polana/ Полана
Малина обыкновенная ремонтантная;Polka/ Полка
Малина обыкновенная ремонтантная;Zeva/ Зева
Малина обыкновенная ремонтантная;Журавлик
Малина обыкновенная ремонтантная;Золотая осень
Малина обыкновенная ремонтантная;Красная Гвардия
Малина обыкновенная ремонтантная;Подарок Кашину
Монарда гибридная;Scorpion/ Скорпион
Нивяник великолепный;Goldsmith / Голдсмит
Нивяник великолепный;Old Court Variety/ Олд Корт Вераети
Нивяник великолепный;Paladin/ Паладин
Поляника (Княженика);Beata/ Беата
Поляника (княженика);Anna/Анна
Поляника (княженика);Astra / Астра 
Поляника (княженика);Aura/ Аура
Поляника (княженика);Pima / Пима
Примула ушковая;Bartl/ Бартл
Примула ушковая;Crimson Glow/ Кримсон Глоу
Примула ушковая;Forest Lemon / Форест Лемон
Примула ушковая;Merlin Stripe/ Мэрлин Стрип
Примула ушковая;Pegasus/ Пегасус
Примула ушковая;Ted Roberts/ Тэд Робертс
Рододендрон вечнозеленый;Helsinki University/ Хельсинки Юниверсити
Рододендрон вечнозеленый;Cunninghams White/ Каннингемс Уайт
Рододендрон листопадный;Golden Lights/ Голден Лайтс
Сирень гиацинтовая;Anabel/ Анабель
Сирень обыкновенная;Ami Schott/ Ами Шотт
Сирень обыкновенная;Anne Shiach / Анна Шиач
Сирень обыкновенная;Charles Joly / Шарль Жоли
Сирень обыкновенная;Frank Paterson/ Френк Патерсон 
Сирень обыкновенная;Marechal Lannes / Маршал Ланн
Сирень обыкновенная;Miss Ellen Willmott/ Мисс Элен Уилмот
Сирень обыкновенная;Monique Lemoine/ Моник Лемуан
Сирень обыкновенная;Montaigne / Монтень
Сирень обыкновенная;Mood Indigo/ Муд Индиго
Сирень обыкновенная;Perle/ Перле
Сирень обыкновенная;Primrose/ Примроуз
Сирень обыкновенная;Princesse Clementine/ Принцесса Клементина
Сирень обыкновенная;Rochester/ Рочестер
Сирень обыкновенная;Zhemchuzhina/ Жемчужина 
Сирень обыкновенная;Аделина
Сирень обыкновенная;Андрюша Громов
Сирень обыкновенная;Богдан Хмельницкий
Сирень обыкновенная;Василий Тёркин
Сирень обыкновенная;Великая Победа
Сирень обыкновенная;Вечерний звон
Сирень обыкновенная;Вечерняя Москва
Сирень обыкновенная;Вячеслав Лудилов
Сирень обыкновенная;Галина Уланова
Сирень обыкновенная;День победы 
Сирень обыкновенная;Дочь Тамара
Сирень обыкновенная;Защитникам Бреста
Сирень обыкновенная;Звезда Москвы
Сирень обыкновенная;Знамя Ленина 
Сирень обыкновенная;Зорька Венера
Сирень обыкновенная;Индия
Сирень обыкновенная;Катюша
Сирень обыкновенная;Красавица Москвы
Сирень обыкновенная;Красная Москва
Сирень обыкновенная;Кружевница
Сирень обыкновенная;Лунный свет
Сирень обыкновенная;Маленький принц
Сирень обыкновенная;Маршал Бирюзов
Сирень обыкновенная;Маршал Жуков
Сирень обыкновенная;Маршал Малиновский
Сирень обыкновенная;Маршал Соколовский
Сирень обыкновенная;Огни Донбасса
Сирень обыкновенная;Олимпиада Колесникова
Сирень обыкновенная;Память о Колесникове 
Сирень обыкновенная;Петербурженка
Сирень обыкновенная;Радж Капур
Сирень обыкновенная;Роза Москвы
Сирень обыкновенная;Русская песня
Сирень обыкновенная;Русский Север
Сирень обыкновенная;Русь
Сирень обыкновенная;Серебрянные звёзды
Сирень обыкновенная;Советская Арктика
Сирень обыкновенная;Сумерки
Флокс шиловидный;Apple Blossom / Эпл Блоссом
Флокс шиловидный;Atropurpurea/ Атропурпуреа
Флокс шиловидный;Candy Stripes / Кэнди страйпс 
Флокс шиловидный;Kimono/ Кимоно
Флокс шиловидный;Lindental / Линдентал 
Хризантема карейская;Резея 
Хризантема корейская;Michel /Мишель
Хризантема корейская;Panda/ Панда
Хризантема корейская;Pompon Yellow / Помпон Йеллоу
Хризантема корейская;Red Velvet/ Ред Вельвет
Хризантема корейская;Ватра 
Хризантема корейская;Вересневый бисер
Хризантема корейская;Красная Ромашка
Хризантема корейская;Медея
Хризантема корейская;Метеорит
Хризантема корейская;Перламутровая
Хризантема корейская;Рейган
Хризантема корейская;Золотистая
Чубушник гибридный;Bialy Karzel/ Бейли Карзел 
Чубушник гибридный;Жемчуг
Чубушник гибридный;Зоя Космодемьянская
Чубушник гибридный;Необычный
Чубушник гибридный;Снежная буря
